 Bin (ppm)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
Factors	Strain:1K00606 | Strain source:Marine | Medium:A14	Strain:1K00606 | Strain source:Marine | Medium:A14	Strain:1K00606 | Strain source:Marine | Medium:A14	Strain:1K00606 | Strain source:Marine | Medium:A14	Strain:1K00606 | Strain source:Marine | Medium:A14	Strain:1K00606 | Strain source:Marine | Medium:A14	Strain:1K00607 | Strain source:Marine | Medium:A14	Strain:1K00607 | Strain source:Marine | Medium:A14	Strain:1K00607 | Strain source:Marine | Medium:A14	Strain:1K00607 | Strain source:Marine | Medium:A14	Strain:1K00607 | Strain source:Marine | Medium:A14	Strain:1K00607 | Strain source:Marine | Medium:A14	Strain:1K00610 | Strain source:Marine | Medium:A14	Strain:1K00610 | Strain source:Marine | Medium:A14	Strain:1K00610 | Strain source:Marine | Medium:A14	Strain:1K00610 | Strain source:Marine | Medium:A14	Strain:1K00610 | Strain source:Marine | Medium:A14	Strain:1K00610 | Strain source:Marine | Medium:A14	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	Strain:1K00606 | Strain source:Marine | Medium:A6	Strain:1K00606 | Strain source:Marine | Medium:A6	Strain:1K00606 | Strain source:Marine | Medium:A6	Strain:1K00606 | Strain source:Marine | Medium:A6	Strain:1K00606 | Strain source:Marine | Medium:A6	Strain:1K00606 | Strain source:Marine | Medium:A6	Strain:1K00607 | Strain source:Marine | Medium:A6	Strain:1K00607 | Strain source:Marine | Medium:A6	Strain:1K00607 | Strain source:Marine | Medium:A6	Strain:1K00607 | Strain source:Marine | Medium:A6	Strain:1K00607 | Strain source:Marine | Medium:A6	Strain:1K00607 | Strain source:Marine | Medium:A6	Strain:1K00610 | Strain source:Marine | Medium:A6	Strain:1K00610 | Strain source:Marine | Medium:A6	Strain:1K00610 | Strain source:Marine | Medium:A6	Strain:1K00610 | Strain source:Marine | Medium:A6	Strain:1K00610 | Strain source:Marine | Medium:A6	Strain:1K00610 | Strain source:Marine | Medium:A6	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	Strain:1K00606 | Strain source:Marine | Medium:A3	Strain:1K00606 | Strain source:Marine | Medium:A3	Strain:1K00606 | Strain source:Marine | Medium:A3	Strain:1K00606 | Strain source:Marine | Medium:A3	Strain:1K00606 | Strain source:Marine | Medium:A3	Strain:1K00606 | Strain source:Marine | Medium:A3	Strain:1K00607 | Strain source:Marine | Medium:A3	Strain:1K00607 | Strain source:Marine | Medium:A3	Strain:1K00607 | Strain source:Marine | Medium:A3	Strain:1K00607 | Strain source:Marine | Medium:A3	Strain:1K00607 | Strain source:Marine | Medium:A3	Strain:1K00607 | Strain source:Marine | Medium:A3	Strain:1K00610 | Strain source:Marine | Medium:A3	Strain:1K00610 | Strain source:Marine | Medium:A3	Strain:1K00610 | Strain source:Marine | Medium:A3	Strain:1K00610 | Strain source:Marine | Medium:A3	Strain:1K00610 | Strain source:Marine | Medium:A3	Strain:1K00610 | Strain source:Marine | Medium:A3	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	Strain:1A10663 | Strain source:Terrestrial | Medium:A3	Strain:1A10663 | Strain source:Terrestrial | Medium:A3
0.67595	128.7525819	125.6252901	176.797635	200.8924656	133.4270631	201.9413617	150.5448164	144.4664315	130.6293516	148.0976341	150.9171885	148.7667965	205.9466553	226.0461208	189.4529174	155.2357421	181.1944965	88.22136034	364.8126635	333.0308704	261.4991842	407.800796	288.5384817	167.3718497	17.4730305	25.66195065	22.62648453	25.76682779	14.81496679	31.67291789	38.9689451	38.36007359	15.49937628	53.52623304	106.492453	32.26828486	150.839874	145.5116651	151.1656448	156.4443646	152.0407946	139.4615114	12.98137723	57.86626442	119.718436	45.61656694	60.58546615	40.66118225	83.42877128	45.05251382	99.75305539	93.64008513	80.60127707	81.06038264	23.66985906	80.25285994	106.5073248	77.48576655	82.46869969	41.20134057	37.94930087	50.61208078	48.79556705	48.98624847	26.92344028	43.66150583	222.9219107	278.2548598	264.7814161	262.5704484	254.6259418	256.9417051
0.6897	394.8150527	392.1212998	545.4448804	587.1165141	411.9488165	605.8596596	440.3044778	416.5437986	403.963212	434.1053919	441.6519152	422.7706853	604.5694969	674.7750739	549.818899	483.660609	526.1624111	279.6351193	806.3420186	818.5656598	628.1090196	1006.225085	680.8685099	385.9236619	66.98180127	43.57847346	23.3960239	47.17473621	22.52992806	72.92286597	100.5985667	111.995846	55.43751903	152.0058801	276.6434876	67.49709212	419.6561911	405.8754471	416.0353974	421.1061316	408.8581944	381.9240414	40.87976849	84.21225914	189.2715428	93.47199522	111.1473819	11.10074499	214.1630277	125.6451554	265.3152404	268.8368278	203.3992893	209.2738831	65.4147763	220.8095289	285.1163088	206.9248883	244.4180145	146.5296823	105.6816815	135.4962854	125.2887949	124.4943288	67.18491463	113.198054	554.4485664	628.6761256	586.7910778	639.0431432	638.8912364	614.296165
0.70205	261.7162479	253.4285078	361.5180018	392.9114948	295.6889231	390.8225797	285.0541223	277.36313	281.0821334	288.2401722	291.5101489	288.0533962	396.3240623	445.2001131	374.7414594	306.9582734	355.8471596	208.4495691	519.8177006	520.6749713	427.5727436	637.4397829	441.410709	309.9213468	24.75189216	17.5814098	17.00910188	29.23721169	16.0196938	30.69763973	92.22450868	96.13430294	85.61513062	112.2715895	204.377798	48.35647898	324.1294546	315.82436	317.9945699	322.9414122	300.9451807	289.8142263	62.94807772	85.13601664	77.75146274	87.16594886	80.62372993	17.33017742	156.6908002	97.22384461	183.7142934	156.4606262	144.1875608	161.6409229	90.90101426	183.1649523	220.8155116	164.267752	175.3037369	125.656503	96.05632262	98.77375064	108.6533338	85.64329669	48.2315472	109.2895651	352.8121852	425.5125317	393.3516736	411.9663658	392.0537367	378.1494956
0.71415	259.7580799	268.829209	309.6723149	367.0853183	272.1396754	368.1248146	291.6586296	279.9988533	270.2449751	286.7974397	293.6834904	293.129585	421.9914846	419.1858651	388.1523087	323.6511954	362.35262	224.2303457	557.8235873	552.73818	441.8021039	658.3285485	498.6388697	351.5782777	30.232688	34.85638911	24.56739962	60.89479978	40.81549213	46.2102642	118.7802198	135.7801726	95.45295273	131.5045691	224.8374252	75.06233452	353.7327812	358.0625447	353.3250871	342.2640124	330.4008124	341.6382374	96.47778262	131.0226964	120.6856337	123.953895	113.6057088	41.05743482	159.5968916	71.17491394	171.0915919	151.9364018	162.8367015	152.7167299	78.17262302	158.8258365	228.1832389	158.7064603	163.5460381	88.50446215	100.7991672	122.7898959	109.3300369	114.6575524	73.54120322	117.6279087	462.4946742	536.0126988	495.3389719	525.3935541	499.4349092	472.6701543
0.7341	1888.819776	1863.044471	1409.464796	1209.893835	1751.99225	1485.730294	1232.032073	1360.281421	1588.921672	1325.662418	1392.03157	1383.758707	1942.968981	1556.688632	2019.03779	2064.025783	1919.780597	1545.881029	3170.373729	2642.320111	2473.814694	2387.753737	2605.959629	2411.544254	1080.120369	811.3632267	1051.012332	1107.640377	1076.529571	967.2492891	971.9148921	1203.688206	1116.900532	963.5657971	1334.40741	1057.494707	1297.992575	1272.645854	1015.08402	1400.439081	1265.07433	1124.094461	2452.747636	2446.320938	2655.327132	2761.021251	2334.418223	2328.335277	658.917603	539.4768188	707.4986345	567.5926686	662.954456	621.6931236	443.7270497	758.7482344	856.146803	614.0397788	733.4995665	521.2266088	833.8989003	720.2396547	775.9195265	707.5856836	739.4084818	907.6984529	3096.574955	3347.812273	3570.465479	3506.282558	3629.544708	3426.099772
0.7481	467.1195805	477.1812138	649.17254	811.902584	596.1837915	721.9240554	559.0841198	558.847709	532.3726325	572.7107377	583.3212393	554.6200728	830.6329109	801.7724613	741.0089156	600.7274683	742.0094053	297.2439686	1039.27447	1130.06529	978.7892833	1260.022027	934.4315476	614.0148502	178.6894132	185.9767392	128.3986072	182.7756509	140.2942392	107.4437644	268.5730092	298.0002943	139.3736707	273.7965936	456.102972	123.4068366	490.7618275	480.4985075	456.123448	527.9734829	493.6482856	524.5756441	444.0166447	519.4764456	752.8977087	615.6646222	743.4014665	561.2643119	273.0258953	126.6047228	312.0946586	315.6314718	214.6067501	241.5559576	159.4719437	294.0975071	451.7703809	303.4135224	312.3809413	168.2008968	155.1433747	264.6308191	153.3067686	156.3105664	248.6564896	175.2145918	784.0783377	934.157096	1002.087811	1000.159722	932.0922875	1031.404699
0.76943	437.8025913	441.9047997	536.937198	682.4529868	498.0261143	617.7544063	475.7531717	480.5337268	405.4531241	488.0877802	494.2791665	479.8104873	617.6036599	638.577761	534.7338682	470.2844587	582.7039624	184.3377534	531.3738196	645.1960245	577.1910699	741.7334203	524.8409996	264.0161568	117.6123257	122.0911617	118.1730242	136.4179297	153.1665972	140.1787012	226.0753346	244.4927384	130.8130581	241.2914104	299.119571	150.4834436	354.486384	368.776783	307.506086	422.5768777	339.1732578	365.2729993	200.8441982	269.7590986	418.2373436	332.3117344	375.8474371	263.9636056	244.821749	97.47965603	208.868207	245.8200692	185.0044191	229.6685075	133.3047338	310.1181566	372.4433842	234.3732597	320.5898251	174.0435086	153.346674	154.6177165	160.9213441	152.0997165	99.44664127	160.8852768	282.2515022	341.8644632	354.8609154	362.0969935	378.6801502	341.3501006
0.77662	204.3378891	205.5397149	339.4190068	511.311653	297.0355249	410.7291257	277.1706631	287.7058341	200.2809078	293.7662364	300.7429678	279.5281047	338.5297148	393.5197016	289.6231006	183.850964	318.8187552	0.002004797	197.54291	187.5966088	297.497949	339.6099783	148.3033231	108.1143192	35.66906181	32.25430794	43.36418357	41.01496518	46.98406619	26.4974915	117.4510762	105.8893101	28.4014121	118.8751174	127.8854935	37.39665501	209.859233	215.2898103	179.7344287	265.5173241	212.6633684	222.7995572	97.60435731	130.0550199	255.183156	175.981994	252.1795924	193.2596958	174.044455	53.66207141	140.0316586	203.5488314	106.9032798	135.2253059	124.5002543	226.7372109	295.1767004	198.9462789	263.3873867	136.4604249	110.8449043	114.1447627	87.42407183	75.24827624	69.54050461	86.65956381	102.8274876	101.71743	128.1572493	120.1388657	150.4837171	122.3420535
0.8042	51.88835906	69.01170259	154.3116173	312.2418551	90.60107992	243.648752	125.1792714	134.8788016	47.79837726	156.6718294	139.3445869	136.7919176	185.5649159	211.1031934	137.681704	57.26589403	174.9630169	0.002004797	0.002004797	0.002004797	8.036184854	0.002004797	0.002004797	289.6701954	92.71675944	0.696826337	34.81623514	29.66021457	8.209947475	49.28389724	19.92336537	0.002004797	0.002004797	13.32083285	29.45321254	28.86969142	56.06975807	57.28849027	60.67114586	109.8778756	71.82576846	77.17729544	0.002004797	0.002004797	41.01017837	0.002004797	55.67712428	136.1892515	66.83689941	0.002004797	43.7196278	133.13442	36.52403569	66.50185618	31.8022547	95.52431154	155.3445248	85.68537534	159.6197765	53.61667005	40.65021608	14.4994298	32.15369308	19.82242342	14.49790604	31.06581096	0.002004797	0.002004797	4.660350604	0.002004797	0.002004797	0.002004797
