#METABOLOMICS WORKBENCH Jinmei_20170812_050650 DATATRACK_ID:1217 STUDY_ID:ST000875 ANALYSIS_ID:AN001828 PROJECT_ID:PR000606
VERSION             	1
CREATED_ON             	January 10, 2019, 1:15 pm
#PROJECT
PR:PROJECT_TITLE                 	Metabolomic investigations on Nesterenkonia flava from different origins revealed significant intraspecies differences between marine and terrestrial actinomycetes
PR:PROJECT_SUMMARY               	Marine is one of the most important resources of microorganisms, including bacteria, actinomycetes, and fungi. As marine and terrestrial environments differ a lot in many aspects it is not surprising that the species and characteristics of microorganisms living there are very different. Interestingly, many marine microorganisms can find their congeners of the same species from terrestrial resources. The aim of this work is to evaluate the intraspecies differences between marine and terrestrial actinomycetes on metabolic level and to uncover the mechanism responsible for the differences. To address this, we carried out comparative metabolomics study on Nesterenkonia flava strains isolated from marine and terrestrial environments. The results showed that marine strains were clearly distinguished from their terrestrial congeners on the principal components analysis (PCA) scores plot of intracellular metabolites. The markers responsible for the discrimination of marine and terrestrial strains were figured out using loading plot from partial least squares discrimination analysis (PLS-DA). Pathway analysis based on PLS-DA, univariate analysis, and correlation analysis of metabolites showed that the major differential metabolites between the terrestrial N. flava and the marine ones were involved in osmotic regulation, redox balancing, and energy metabolism. Together, these insights provide clues as to how the previous living environment of microbes affect their current metabolic performances under laboratory cultivation conditions.
PR:INSTITUTE                     	Third Institute of Oceanography, State Oceanic Administration
PR:LAST_NAME                     	Xia
PR:FIRST_NAME                    	Jinmei
PR:ADDRESS                       	184 Daxue Road, Xiamen 361005, PR China
PR:EMAIL                         	xiajinmei@tio.org.cn
PR:PHONE                         	86-13003995626
#STUDY
ST:STUDY_TITLE                   	Metabolomic investigations on Nesterenkonia flava from different origins revealed significant intraspecies differences between marine and terrestrial actinomycetes
ST:STUDY_SUMMARY                 	Marine is one of the most important resources of microorganisms, including bacteria, actinomycetes, and fungi. As marine and terrestrial environments differ a lot in many aspects it is not surprising that the species and characteristics of microorganisms living there are very different. Interestingly, many marine microorganisms can find their congeners of the same species from terrestrial resources. The aim of this work is to evaluate the intraspecies differences between marine and terrestrial actinomycetes on metabolic level and to uncover the mechanism responsible for the differences. To address this, we carried out comparative metabolomics study on Nesterenkonia flava strains isolated from marine and terrestrial environments. The results showed that marine strains were clearly distinguished from their terrestrial congeners on the principal components analysis (PCA) scores plot of intracellular metabolites. The markers responsible for the discrimination of marine and terrestrial strains were figured out using loading plot from partial least squares discrimination analysis (PLS-DA). Pathway analysis based on PLS-DA, univariate analysis, and correlation analysis of metabolites showed that the major differential metabolites between the terrestrial N. flava and the marine ones were involved in osmotic regulation, redox balancing, and energy metabolism. Together, these insights provide clues as to how the previous living environment of microbes affect their current metabolic performances under laboratory cultivation conditions.
ST:INSTITUTE                     	Third Institute of Oceanography, State Oceanic Administration
ST:LAST_NAME                     	Xia
ST:FIRST_NAME                    	Jinmei
ST:ADDRESS                       	184 Daxue Road, Xiamen 361005, PR China
ST:EMAIL                         	xiajinmei@tio.org.cn
ST:PHONE                         	86-13003995626
#SUBJECT
SU:SUBJECT_TYPE                  	NMR based metabolomics of microbes
SU:SUBJECT_SPECIES               	Nesterenkonia flava
SU:TAXONOMY_ID                   	469799
#SUBJECT_SAMPLE_FACTORS:         	SUBJECT(optional)[tab]SAMPLE[tab]FACTORS(NAME:VALUE pairs separated by |)[tab]Additional sample data
SUBJECT_SAMPLE_FACTORS_1           	Strain:1K00606 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_2           	Strain:1K00606 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_3           	Strain:1K00606 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_4           	Strain:1K00606 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_5           	Strain:1K00606 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_6           	Strain:1K00606 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_7           	Strain:1K00607 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_8           	Strain:1K00607 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_9           	Strain:1K00607 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_10          	Strain:1K00607 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_11          	Strain:1K00607 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_12          	Strain:1K00607 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_13          	Strain:1K00610 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_14          	Strain:1K00610 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_15          	Strain:1K00610 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_16         	Strain:1K00610 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_17          	Strain:1K00610 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_18          	Strain:1K00610 | Strain source:Marine | Medium:A14	
SUBJECT_SAMPLE_FACTORS_19          	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	
SUBJECT_SAMPLE_FACTORS_20          	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	
SUBJECT_SAMPLE_FACTORS_21          	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	
SUBJECT_SAMPLE_FACTORS_22          	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	
SUBJECT_SAMPLE_FACTORS_23          	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	
SUBJECT_SAMPLE_FACTORS_24          	Strain:1A10663 | Strain source:Terrestrial | Medium:A14	
SUBJECT_SAMPLE_FACTORS_25          	Strain:1K00606 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_26          	Strain:1K00606 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_27          	Strain:1K00606 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_28          	Strain:1K00606 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_29          	Strain:1K00606 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_30          	Strain:1K00606 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_31          	Strain:1K00607 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_32          	Strain:1K00607 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_33          	Strain:1K00607 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_34          	Strain:1K00607 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_35          	Strain:1K00607 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_36          	Strain:1K00607 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_37          	Strain:1K00610 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_38          	Strain:1K00610 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_39          	Strain:1K00610 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_40          	Strain:1K00610 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_41          	Strain:1K00610 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_42          	Strain:1K00610 | Strain source:Marine | Medium:A6	
SUBJECT_SAMPLE_FACTORS_43          	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	
SUBJECT_SAMPLE_FACTORS_44          	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	
SUBJECT_SAMPLE_FACTORS_45          	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	
SUBJECT_SAMPLE_FACTORS_46          	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	
SUBJECT_SAMPLE_FACTORS_47          	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	
SUBJECT_SAMPLE_FACTORS_48          	Strain:1A10663 | Strain source:Terrestrial | Medium:A6	
SUBJECT_SAMPLE_FACTORS_49          	Strain:1K00606 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_50          	Strain:1K00606 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_51          	Strain:1K00606 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_52          	Strain:1K00606 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_53          	Strain:1K00606 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_54          	Strain:1K00606 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_55          	Strain:1K00607 | Strain source:Marine | Medium:A3	
SUBJECT_SAMPLE_FACTORS_56          	Strain:1K00607 | Strain source:Marine | Medium:A3	
